"decimalLatitude","decimalLongitude","value"
44.26646,-72.57697,1
44.44746,-73.19867,1
44.58909,-73.18844,1
52.09814,5.95144,1
52.53441,6.13052,1
52.00293,5.78033,1
52.00293,5.78033,1
52.00293,5.78033,1
52.02739,5.76762,1
52.02739,5.76762,1
51.99828,5.79928,1
51.99844,5.7829,1
52.53486,6.13024,1
52.53424,6.1292,1
44.25987,-72.58399,1
52.00293,5.78033,1
44.47677,-73.18342,1
44.2633,-72.56386,1
52.00293,5.78033,1
51.99828,5.79928,1
52.09814,5.95144,1
51.99844,5.7829,1
52.53424,6.12949,1
52.00293,5.78033,1
52.09606,5.95013,1
52.09606,5.95013,1
42.92005,-72.58917,1
52.0377,5.77702,1
52.78223,6.1852,1
41.18329,-81.6569,1
44.39283,-72.44452,1
52.37441,5.86446,1
52.0377,5.77702,1
41.18167,-81.65275,1
50.80082,5.99003,1
42.96381,-72.5275,1
43.1343,-73.12772,1
44.25717,-72.58069,1
52.78232,6.18573,1
50.90347,5.92503,1
52.0878,5.88721,1
52.07336,5.8826,1
52.0627,5.86306,1
52.12364,5.35,1
44.47015,-72.79859,1
52.08201,5.88887,1
52.07336,5.8826,1
52.0644,5.87945,1
52.07336,5.8826,1
52.12319,5.34972,1
52.12376,5.34655,1
43.67979,-72.38248,1
52.12364,5.35,1
52.12319,5.34972,1
52.10061,5.32471,1
52.07336,5.8826,1
52.11554,5.34473,1
52.0878,5.88721,1
52.10095,5.3241,1
51.75141,3.86593,1
52.16508,6.28054,1
52.07261,5.88094,1
43.16385,-73.09304,1
52.16508,6.28054,1
52.12319,5.34972,1
52.15248,6.39054,1
52.16504,6.28026,1
52.11362,5.30529,1
52.08201,5.88887,1
52.06398,5.87961,1
52.12319,5.34972,1
43.75902,-92.00562,1
44.53669,-73.27559,1
51.91397,6.56347,1
51.91397,6.56347,1
52.26599,6.50151,1
52.10324,6.35179,1
52.09613,6.39386,1
52.13508,6.66612,1
43.47695,-72.69267,1
52.17825,6.58735,1
44.32682,-68.28698,1
44.03975,-72.63284,1
52.14996,6.60915,1
51.97984,6.59958,1
52.28305,7.02136,1
52.13508,6.66612,1
43.6182,-73.235,1
51.97984,6.59958,1
52.45231,6.19907,1
52.00441,6.37222,1
52.4465,6.44148,1
52.45191,6.19872,1
52.02659,5.77089,1
52.4513,6.20053,1
52.00435,6.36727,1
44.39566,-72.77089,1
43.63334,-72.51682,1
52.45128,6.19833,1
52.00441,6.37222,1
52.02201,6.36059,1
51.87884,6.51385,1
52.00435,6.36727,1
52.45128,6.19833,1
43.19446,-73.09063,1
44.25783,-72.56611,1
51.90259,6.56329,1
52.02659,5.77089,1
44.24783,-72.08966,1
51.87884,6.51385,1
51.98683,6.33796,1
51.98683,6.33796,1
52.02659,5.77089,1
41.99884,-87.77938,1
52.02659,5.77089,1
52.94255,6.32983,1
43.27692,-73.01204,1
44.07494,-73.2633,1
44.01857,-73.18074,1
44.22851,-72.56418,1
44.29746,-72.68674,1
43.64876,-72.90572,1
44.39519,-72.90577,1
47.54099,-94.52783,1
44.40033,-72.67064,1
44.25568,-72.58277,1
52.44968,6.19599,1
52.44852,6.19866,1
44.07472,-73.26467,1
43.6291,-72.93925,1
44.25566,-72.58275,1
44.07128,-73.27759,1
44.45322,-72.94859,1
52.6797,6.42432,1
52.94183,6.32937,1
44.05374,-73.27109,1
44.39987,-72.66968,1
43.62096,-73.0573,1
44.40116,-72.67176,1
44.28658,-72.41171,1
44.39801,-72.66368,1
52.6797,6.42432,1
42.15435,-71.03409,1
44.39777,-72.6608,1
44.2564,-72.58523,1
44.26251,-72.57927,1
44.27027,-72.57826,1
44.26898,-72.58016,1
44.25554,-72.59396,1
44.15991,-72.65164,1
44.26716,-72.57965,1
44.20913,-72.61679,1
44.00346,-73.1649,1
44.25822,-72.58094,1
44.25818,-72.57997,1
44.20801,-72.61762,1
44.21221,-72.59086,1
44.26167,-72.58732,1
44.27052,-72.57907,1
44.26974,-72.57998,1
44.24346,-72.57224,1
44.26779,-72.57421,1
44.26656,-72.57953,1
44.21398,-72.58906,1
44.26788,-72.57992,1
44.26604,-72.57993,1
43.19702,-72.5046,1
43.63701,-72.40623,1
36.1465,-86.80245,1
43.99396,-73.16466,1
43.84928,-73.05292,1
44.05678,-73.17648,1
44.05361,-73.18568,1
43.85207,-73.04458,1
44.13964,-73.06837,1
44.48716,-73.22928,1
44.00337,-73.16434,1
43.96554,-73.12611,1
42.44175,-71.48426,1
43.97221,-73.07258,1
44.04318,-73.18098,1
44.26969,-73.25427,1
44.55889,-73.12156,1
44.03329,-73.08498,1
52.17882,6.20369,1
52.10062,5.95407,1
52.10126,5.95409,1
51.69812,3.73734,1
52.4422,6.08094,1
51.69812,3.73734,1
43.68659,-73.14689,1
51.8885,6.25187,1
52.13633,5.98354,1
52.12448,5.95941,1
52.31991,6.12032,1
52.13633,5.98354,1
41.13667,-81.57317,1
51.26055,4.07838,1
51.89522,6.25534,1
52.13633,5.98354,1
52.28721,5.92046,1
52.42809,4.63394,1
52.10062,5.95407,1
42.44484,-71.49097,1
52.4422,6.08094,1
52.42809,4.63394,1
52.42809,4.63394,1
52.10462,6.09972,1
51.26055,4.07838,1
42.44525,-71.49124,1
52.1884,6.22097,1
44.05201,-73.17776,1
43.66645,-73.06435,1
52.24331,5.20664,1
52.02162,5.74962,1
52.48377,6.48977,1
51.17254,6.02054,1
52.79427,5.75471,1
52.02713,5.8302,1
43.75403,-73.12651,1
52.48992,6.46011,1
44.27985,-73.21805,1
52.07134,6.08345,1
52.02713,5.8302,1
52.19817,6.82501,1
43.74494,-73.10763,1
44.27806,-73.21747,1
52.00814,6.73448,1
52.48992,6.46011,1
52.8911,6.52725,1
51.17254,6.02054,1
52.79429,5.75483,1
43.75969,-73.13002,1
52.4633,6.54665,1
52.8911,6.52725,1
52.07134,6.08345,1
45.57106,-75.85008,1
52.1382,6.11098,1
52.29872,6.96691,1
51.93443,6.61448,1
43.74896,-73.11613,1
44.45386,-73.22904,1
52.48992,6.46011,1
52.51162,6.49391,1
52.02798,5.86047,1
52.10269,6.60022,1
52.79429,5.75483,1
51.17254,6.02054,1
52.18872,6.64758,1
43.75173,-73.12911,1
52.8895,6.35418,1
51.25945,6.02694,1
51.16876,6.11707,1
52.9374,7.10624,1
51.65452,5.78727,1
51.20764,5.79659,1
44.04716,-73.28572,1
52.8791,6.35377,1
52.04563,6.03888,1
53.165,4.85036,1
51.65452,5.78727,1
52.83447,6.43932,1
52.8895,6.35418,1
52.01836,5.89338,1
52.01836,5.89338,1
52.13107,5.88311,1
51.97179,5.68568,1
52.28127,5.93478,1
52.6766,4.67113,1
52.96116,7.14141,1
51.24919,6.06393,1
53.165,4.85036,1
51.51726,5.76099,1
52.04563,6.03888,1
51.22205,6.0417,1
52.13934,5.8629,1
52.22251,5.81959,1
51.8267,5.71214,1
51.89196,6.57052,1
52.77914,4.67298,1
52.82029,6.11758,1
52.40266,6.75492,1
53.04808,6.08306,1
52.6766,4.67113,1
52.31729,5.90763,1
52.00292,5.85708,1
52.38325,6.00092,1
51.65452,5.78727,1
52.86751,7.09554,1
52.90692,6.35492,1
51.29926,6.07314,1
52.07824,5.88033,1
53.08474,4.76385,1
51.29926,6.07314,1
52.38325,6.00092,1
51.39645,6.1408,1
52.13934,5.8629,1
52.33934,5.78492,1
52.40931,6.03367,1
52.36001,6.20572,1
52.13107,5.88311,1
51.22521,5.90606,1
51.29926,6.07314,1
52.1007,5.87023,1
52.96674,6.16623,1
51.24919,6.06393,1
52.96116,7.14141,1
52.90773,6.14083,1
44.26847,-72.57614,1
52.91288,6.36894,1
51.86068,4.06198,1
52.27833,5.94836,1
51.18452,5.78338,1
52.93789,7.08498,1
52.8895,6.35418,1
52.94992,6.32021,1
52.99157,7.12089,1
52.90692,6.35492,1
52.90692,6.35492,1
52.1007,5.87023,1
52.91353,6.38239,1
51.22205,6.0417,1
52.91353,6.38239,1
52.96153,7.08727,1
52.40266,6.75492,1
52.20113,6.28675,1
52.3261,5.76368,1
52.96116,7.14141,1
51.25945,6.02694,1
52.90773,6.14083,1
52.96153,7.08727,1
52.38325,6.00092,1
51.48948,5.27137,1
52.88976,6.71691,1
52.48925,4.59397,1
51.97327,5.55697,1
52.87178,6.79066,1
52.24773,4.46988,1
50.95372,5.98761,1
52.90658,6.67393,1
52.23034,5.87912,1
53.13869,6.58801,1
52.96919,6.75593,1
52.91532,6.67946,1
52.99186,6.73122,1
51.48948,5.27137,1
52.12899,4.40178,1
52.85861,6.78803,1
52.20072,5.26046,1
51.97327,5.55697,1
51.9761,5.55344,1
52.85805,5.49112,1
52.60206,4.6532,1
52.33785,5.79987,1
52.89269,6.65748,1
52.98033,6.39208,1
52.88925,6.731,1
52.9329,6.73877,1
52.12899,4.40178,1
52.104,5.242,1
52.22655,5.86876,1
52.82129,6.10053,1
52.35202,5.78327,1
52.21088,5.87149,1
52.60206,4.6532,1
52.89148,6.67727,1
52.21146,5.8124,1
52.02231,5.81828,1
52.85293,6.79849,1
